beta,sweep,M,absM,M2,E,E2,acceptedFlips,attemptedClusters,acceptedClusters,fixedPairCorr,corr_r1,corr_r2,corr_r3,corr_r4,corr_r5,corr_r6,corr_r7,corr_r8,corr_r9,corr_r10,corr_r50,corr_r75,corr_r100,corr_r125,corr_r150,corr_r175,corr_r200,corr_r225,corr_r250
0.02,45,0.000512,0.000512,2.62144e-07,-0.039344,0.00154795,0,239783,120074,-1,0.019672,-0.001352,0.001504,-0.001008,1.6e-05,-0.000288,0.001104,-0.00116,0.00108,-0.00208,0.001336,0.0014,0.000632,0.002624,-0.000728,0.000176,0.002008,-0.001568,-0.001472
0.02,46,0.00032,0.00032,1.024e-07,-0.036336,0.0013203,0,240000,120087,-1,0.018168,0.002264,-0.00052,0.001568,0.000392,-0.000736,0.002688,-0.001912,-0.000288,-0.000672,-0.001248,-0.000448,0.000488,0.000976,0.00044,0.000832,0.000368,-0.001136,0.001424
0.02,47,0.003648,0.003648,1.33079e-05,-0.038496,0.00148194,0,240146,119698,-1,0.019248,0.001752,-0.000552,-0.001064,-0.000832,-0.000264,-0.000248,0.00124,-0.001304,-0.0022,-0.001056,0.000424,0.001016,0.002104,-0.00116,0.002016,-0.001232,0.000608,0.000624
0.02,48,-0.00124,0.00124,1.5376e-06,-0.040384,0.00163087,0,239889,120144,-1,0.020192,-0.003048,-0.00164,-0.000424,-0.003,0.001072,-0.000112,0.002936,-0.00024,0.000216,0.000304,-0.001384,-0.003592,-0.001224,0.001384,-0.000408,-0.000968,-0.001,0.000544
0.02,49,-0.000144,0.000144,2.0736e-08,-0.0396,0.00156816,0,240027,119977,-1,0.0198,0.000784,-0.002272,-8e-06,-0.002024,-0.003256,-0.000352,-0.00052,-0.001832,0.001712,0.000536,-0.00272,0.000272,-0.000968,0.002728,0.002424,-0.00112,0.000984,0.000768
0.02,50,0.00188,0.00188,3.5344e-06,-0.03888,0.00151165,0,240145,120220,1,0.01944,0.000144,0.001208,0.00028,0.000664,0.00072,-0.000656,-0.001776,8e-05,-0.001256,0.001256,0.00136,0.000936,0.001432,9.6e-05,-0.000128,-0.003488,0.001032,0.00024
0.02,51,0.000472,0.000472,2.22784e-07,-0.038608,0.00149058,0,240217,119831,1,0.019304,0.000344,0.000728,-0.000184,-0.0002,0.0022,-0.000392,0.000816,0.000216,-0.000968,-0.0018,0.001984,-0.001064,0.0016,0.000112,0.00336,-0.000112,-0.000816,0.002224
0.02,52,0.001024,0.001024,1.04858e-06,-0.037632,0.00141617,0,240033,120424,1,0.018816,-0.001968,-0.000192,0.001128,-0.000592,-0.001976,-0.000456,4.8e-05,0.001088,7.2e-05,-0.0004,0.000656,-0.002392,-0.00344,-0.002136,0.000744,-0.00212,0.000488,-0.00408
0.02,53,-0.001152,0.001152,1.3271e-06,-0.0396,0.00156816,0,240069,120040,-1,0.0198,-0.001704,0.00108,-0.002248,-0.00036,-0.001192,-0.000504,0.000936,0.000848,-0.001344,0.003672,-0.000128,0.0004,-0.000552,0.003088,-0.001224,-0.000432,0.001904,-0.000672
0.02,54,-0.004016,0.004016,1.61283e-05,-0.03656,0.00133663,0,240000,119961,1,0.01828,-0.000528,-0.000696,-0.000936,-0.000376,0.000592,0.001152,-0.002328,-0.000944,-0.000368,-0.000416,0.001592,0.001408,0.001064,-0.000312,-0.00072,0.00328,0.00116,0.000304
